date,sentiment_financial,oil_relevance_financial,news_count_financial,positive_prob_financial,neutral_prob_financial,negative_prob_financial
2010-02-02,0.0366097129881382,1.5,2,0.474239369854331,0.08813101425766945,0.4376296568661928
2010-02-03,-0.6586485505104065,2.0,1,0.06660908460617065,0.20813331007957458,0.7252576351165771
2010-02-10,-0.9408701416105032,1.0,1,0.009108388796448708,0.04091302305459976,0.9499785304069519
2010-02-15,0.9342241901904345,2.0,1,0.9514269828796387,0.031370241194963455,0.017202792689204216
2010-02-26,0.03378743585199118,1.0,1,0.04714822396636009,0.9394909739494324,0.013360788114368916
2010-03-15,-0.7871967181563377,2.0,1,0.03281400352716446,0.14717531204223633,0.8200107216835022
2010-03-16,0.8950871340930462,2.0,1,0.9285434484481812,0.03800017014145851,0.033456314355134964
2010-03-19,0.01366426795721054,2.0,1,0.04694760590791702,0.9197689890861511,0.03328333795070648
2010-03-31,-0.25376373529434204,2.0,1,0.35113388299942017,0.043968409299850464,0.6048976182937622
2010-04-09,0.8873832114040852,1.0,1,0.9225280284881592,0.042327240109443665,0.03514481708407402
2010-04-13,0.2514977138489485,2.0,1,0.2754862606525421,0.700525164604187,0.023988546803593636
2010-05-02,-0.5726380739361048,2.0,2,0.01888914965093136,0.38958366587758064,0.5915272235870361
2010-05-04,-0.9137588627636433,1.0,1,0.03549731895327568,0.015246503055095673,0.949256181716919
2010-05-05,-0.6741017699241638,2.0,1,0.04282313585281372,0.24025191366672516,0.7169249057769775
2010-05-06,-0.3795314934104681,2.0,2,0.033703749999403954,0.553060993552208,0.41323524340987206
2010-05-10,0.47288074251264334,2.0,2,0.4958137683570385,0.4812532290816307,0.02293302584439516
2010-05-13,-0.7412396389991045,2.0,1,0.018773285672068596,0.22121381759643555,0.7600129246711731
2010-05-17,0.275798705406487,2.0,1,0.2835315465927124,0.7087356448173523,0.007732841186225414
2010-05-21,-0.16708621382713318,1.0,1,0.09502699971199036,0.6428598165512085,0.26211321353912354
2010-05-24,0.1026843748986721,2.5,2,0.17354152165353298,0.755601316690445,0.07085714675486088
2010-05-25,0.20342547819018364,2.0,1,0.2183600217103958,0.7667054533958435,0.014934543520212173
2010-05-27,-0.014922607690095901,2.0,1,0.022486913949251175,0.9401035904884338,0.037409521639347076
2010-05-31,0.02237171307206154,2.0,1,0.04485190287232399,0.9326679110527039,0.02248018980026245
2010-06-02,-0.870076397433877,2.0,1,0.022960981354117393,0.08400173485279083,0.8930373787879944
2010-06-03,-0.5015774257481098,2.0,2,0.04613668844103813,0.4061492048203945,0.547714114189148
2010-06-09,0.4775509890168905,2.0,2,0.49665338546037674,0.48424429818987846,0.019102396443486214
2010-06-11,-0.9641340272501111,2.0,1,0.010093758814036846,0.015678394585847855,0.974227786064148
2010-06-13,-0.5664820671081543,2.0,1,0.14854109287261963,0.13643573224544525,0.7150231599807739
2010-06-15,0.10236204229295254,2.0,2,0.13151130825281143,0.8393394351005554,0.029149265959858894
2010-06-16,-0.821145448833704,2.0,1,0.0330868624150753,0.1126808151602745,0.8542323112487793
2010-06-23,-0.7412927225232124,2.0,1,0.11467521637678146,0.029356781393289566,0.8559679388999939
2010-06-24,-0.018934305757284164,2.0,1,0.03992925211787224,0.9012072086334229,0.0588635578751564
2010-06-28,-0.136351078748703,1.0,1,0.3628499507904053,0.13794907927513123,0.4992010295391083
2010-06-29,-0.38420376973226666,1.5,2,0.05560857430100441,0.5045790784060955,0.4398123440332711
2010-07-05,-0.09918591380119324,2.0,1,0.10592783987522125,0.688958466053009,0.2051137536764145
2010-07-06,0.9195760693401098,2.0,1,0.9426161646842957,0.03434373065829277,0.02304009534418583
2010-07-16,-0.5920370444655418,1.0,1,0.05725572258234024,0.2934514880180359,0.6492927670478821
2010-07-19,0.09929467737674713,2.0,1,0.27667805552482605,0.5459386110305786,0.17738337814807892
2010-07-20,-0.4319245759397745,1.0,1,0.023272013291716576,0.5215314030647278,0.4551965892314911
2010-07-25,-0.45370965730398893,2.0,2,0.037438963539898396,0.47141237556934357,0.49114862084388733
2010-07-26,-0.880292410030961,1.0,1,0.014775818213820457,0.0901559591293335,0.8950682282447815
2010-07-27,0.029297038912773132,1.6666666666666667,3,0.10648900022109349,0.8163190086682638,0.07719196130832036
2010-07-30,0.012672200798988342,2.0,2,0.0495373560115695,0.9135974645614624,0.03686515521258116
2010-08-04,0.8794724717736244,2.0,1,0.9254565834999084,0.028559304773807526,0.04598411172628403
2010-08-19,-0.9524545986205339,2.0,1,0.012612251564860344,0.022320853546261787,0.9650668501853943
2010-08-20,0.13125119172036648,1.0,2,0.14298681914806366,0.8452775478363037,0.011735627427697182
2010-08-24,-0.8197159245610237,2.0,1,0.026626043021678925,0.12703199684619904,0.8463419675827026
2010-09-12,-0.9474048418924212,1.0,1,0.01435681153088808,0.023881591856479645,0.9617616534233093
2010-09-21,0.046774379909038544,2.0,1,0.08687219768762589,0.8730299472808838,0.04009781777858734
2010-09-29,0.9326969012618065,2.0,1,0.951067328453064,0.030562257394194603,0.018370427191257477
2010-10-04,0.8884733021259308,2.0,1,0.9048753380775452,0.07872264087200165,0.01640203595161438
2010-10-07,0.012354295700788498,2.0,1,0.04532352834939957,0.921707272529602,0.03296923264861107
2010-10-10,0.8871839828789234,2.0,1,0.9284936785697937,0.030196651816368103,0.041309695690870285
2010-10-11,0.29088945407420397,2.0,1,0.3047347664833069,0.6814199686050415,0.013845312409102917
2010-10-15,-0.7322443462908268,2.0,1,0.023047056049108505,0.2216615378856659,0.7552914023399353
2010-10-22,-0.026758097112178802,1.0,1,0.042782559990882874,0.8876768350601196,0.06954065710306168
2010-10-26,-0.3149968720972538,2.0,1,0.03142648562788963,0.6221501231193542,0.34642335772514343
2010-10-29,-0.8831169232726097,2.0,1,0.01168975979089737,0.09350354969501495,0.8948066830635071
2010-11-08,0.8702458776533604,2.0,1,0.9161524772644043,0.03794095665216446,0.04590659961104393
2010-11-10,0.15584694407880306,1.0,1,0.1721622496843338,0.8115224838256836,0.01631530560553074
2010-11-11,0.0128654595464468,1.0,1,0.031231503933668137,0.9504024982452393,0.018366044387221336
2010-11-23,0.9007722232490778,2.0,1,0.9194475412368774,0.06187709420919418,0.018675317987799644
2010-12-10,0.07649696338921785,1.0,1,0.09148435294628143,0.8935282826423645,0.01498738955706358
2010-12-15,-0.7701738830655813,2.0,1,0.021961117163300514,0.18590396642684937,0.7921350002288818
2010-12-16,0.7491212859749794,2.0,1,0.8025326132774353,0.14405600726604462,0.0534113273024559
2010-12-21,0.6009502410888672,1.0,1,0.6112487316131592,0.37845277786254883,0.010298490524291992
2010-12-23,-0.5142524112015963,2.0,1,0.0294273030012846,0.4268929958343506,0.5436797142028809
2010-12-28,0.0882477005943656,2.0,1,0.10027045011520386,0.8877067565917969,0.01202274952083826
2010-12-29,0.03864777274429798,2.0,1,0.05085916072130203,0.93692946434021,0.012211387977004051
