date,sentiment_geopolitical,oil_relevance_geopolitical,news_count_geopolitical,positive_prob_geopolitical,neutral_prob_geopolitical,negative_prob_geopolitical
2008-10-08,-0.8159453440457582,2.0,1,0.02355186454951763,0.13695092499256134,0.8394972085952759
2008-10-09,-0.2486569732427597,2.0,1,0.140277698636055,0.47078758478164673,0.3889346718788147
2008-10-11,-0.8520804531872272,1.0,1,0.021587740629911423,0.10474400967359543,0.8736681938171387
2008-10-15,-0.7988846600055695,2.0,2,0.07349598407745361,0.054123371839523315,0.8723806440830231
2008-10-16,-0.9584347000345588,2.0,1,0.01078105065971613,0.020003220066428185,0.9692157506942749
2008-10-22,-0.18576501309871674,2.0,1,0.04916584491729736,0.7159032821655273,0.2349308580160141
2008-10-24,0.9169176258146763,2.0,1,0.9369598627090454,0.04299798607826233,0.020042236894369125
2008-11-05,-0.5185808781534433,2.0,1,0.028789972886443138,0.4238392114639282,0.5473708510398865
2008-11-06,-0.5938646278033654,1.6666666666666667,3,0.02559855269889037,0.35493825003504753,0.6194631805022558
2008-11-12,-0.529665800742805,1.5,2,0.03443023283034563,0.4014737606048584,0.5640960335731506
2008-11-15,0.2639880105853081,2.0,1,0.309672474861145,0.6446430087089539,0.045684464275836945
2008-11-16,-0.9557815119624138,1.0,1,0.00837910920381546,0.027460282668471336,0.9641606211662292
2008-11-19,-0.9629977284930646,1.0,1,0.007345682475715876,0.022310970351099968,0.9703434109687805
2008-11-20,-0.26778762182220817,1.75,4,0.2181508680805564,0.295910676009953,0.48593848990276456
2008-11-25,0.36123794317245483,2.0,1,0.6608320474624634,0.03957385569810867,0.29959410429000854
2008-12-02,-0.6606583297252655,1.0,1,0.1519603431224823,0.03542105481028557,0.8126186728477478
2008-12-04,-0.7779984772205353,1.0,1,0.03722307085990906,0.1475553661584854,0.8152215480804443
2008-12-06,-0.1267242729663849,1.0,1,0.08945244550704956,0.6943708658218384,0.21617671847343445
2008-12-07,-0.37073968164622784,2.0,1,0.02932758815586567,0.5706050992012024,0.4000672698020935
2008-12-11,-0.25056903064250946,1.0,1,0.18098585307598114,0.38745924830436707,0.4315548837184906
2008-12-12,0.07235685735940933,3.0,1,0.11513447761535645,0.8420879244804382,0.04277762025594711
2008-12-19,-0.8281792015768588,2.0,2,0.028244951274245977,0.11533094570040703,0.8564241528511047
2008-12-20,0.040639448910951614,2.0,1,0.06850723922252655,0.903624951839447,0.027867790311574936
2008-12-21,-0.785514272749424,1.0,1,0.019254766404628754,0.17597630620002747,0.8047690391540527
