date,sent_demand_7d,news_demand_7d,nonews_demand_7d,sent_supply_7d,news_supply_7d,nonews_supply_7d,sent_geopolitical_7d,news_geopolitical_7d,nonews_geopolitical_7d,sent_financial_7d,news_financial_7d,nonews_financial_7d
2007-12-09,-0.16098632896319032,4.0,0,-0.7697716802358627,1.0,0,-0.1330243702977896,3.0,0,-0.3415750094378988,4.0,0
2007-12-10,-0.16098632896319032,4.0,0,-0.7697716802358627,1.0,0,-0.1330243702977896,3.0,0,-0.3415750094378988,4.0,0
2007-12-11,-0.1330243702977896,3.0,0,-0.8429587548598647,2.0,0,-0.1330243702977896,3.0,0,-0.3415750094378988,4.0,0
2007-12-12,-0.1330243702977896,3.0,0,-0.8429587548598647,2.0,0,-0.1330243702977896,3.0,0,-0.3415750094378988,4.0,0
2007-12-13,-0.481968529522419,2.0,0,-0.8429587548598647,2.0,0,-0.24936006031930455,4.0,0,-0.28346242755651474,3.0,0
2007-12-14,-0.7697716802358627,1.0,0,-0.8429587548598647,2.0,0,-0.2769574010744692,3.0,0,-0.3281109519302845,2.0,0
2007-12-15,-0.7697716802358627,1.0,0,-0.8429587548598647,2.0,0,0.01822741826375318,4.0,0,-0.01587494897345702,3.0,0
2007-12-16,0.0,0.0,1,-0.9161458294838668,1.0,0,0.41222696751356114,3.0,0,0.36107341665774584,2.0,0
2007-12-17,0.0,0.0,1,-0.9161458294838668,1.0,0,0.41222696751356114,3.0,0,0.36107341665774584,2.0,0
2007-12-18,0.0,0.0,1,0.0,0.0,1,0.41222696751356114,3.0,0,0.36107341665774584,2.0,0
2007-12-19,0.0,0.0,1,0.0,0.0,1,0.41222696751356114,3.0,0,0.36107341665774584,2.0,0
2007-12-20,0.0,0.0,1,0.0,0.0,1,0.608597056940198,1.0,0,0.608597056940198,1.0,0
2007-12-21,0.0,0.0,1,0.0,0.0,1,0.608597056940198,1.0,0,0.608597056940198,1.0,0
2007-12-22,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-12-23,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-12-24,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
